복면가왕,28389136,115941,614.15912
뮤직뱅크,13838067,37767,
[Mnet M2] 엠피디직캠,9483320,53401,
에이프릴스킨,4166756,15886,
비긴어게인2,2837348,48978,
더 콜(The Call),2279223,9816,
D조,1759958,2008,
집사부일체,1146613,10754,
네이버 영화 예고편 저장소,1088250,473,
B조,983302,1394,
김비서가 왜 그럴까,680683,6073,
추신수 (텍사스 레인저스),528937,890,
대한민국 경기,434734,2722,
프로듀스48 (PRODUCE48),407685,6408,
이슈룸,346132,232,
PLEDIS,329609,5754,
미스 함무라비,329054,4007,
SMTOWN,317419,3783,
MBC,200746,293,
SBS 인기가요,182227,7450,
KBS,178920,201,
미스터 션샤인,152484,1932,
기름진 멜로,121144,1179,
수려한tv월드,72012,38,
더 쇼 (THE SHOW),65469,1473,
MLB 핫클립,44096,50,
나의 수학 사춘기,43498,145,
BRANDNEW MUSIC,39309,1538,
너도 인간이니?,29351,241,
SPOTV NEWS(스포티비 뉴스),15391,4,
류현진 (LA다저스),14159,12,
뇌섹시대 문제적 남자,13792,48,
아내의 맛,12005,53,
한경닷컴,10894,3,
불곰국형님의 한국가이드,9777,25,
고니니,8212,40,
주간 아이돌,7047,1130,
DearJerry 디어제리,4627,100,
